Time [s],MideaIR
619.228390000,0
619.228978750,1
619.230539500,0
619.231128750,1
619.232690750,0
619.233278250,1
619.234839750,0
619.235428000,1
619.236990000,0
619.237578500,1
619.239139750,0
619.239728500,1
619.241289000,0
619.241877250,1
619.242363250,0
619.242952000,1
619.244514750,0
619.245102250,1
619.245589000,0
619.246176750,1
619.246664000,0
619.247251500,1
619.247738500,0
619.248326500,1
619.248813750,0
619.249401000,1
619.249889500,0
619.250475750,1
619.250964000,0
619.251551500,1
619.253114250,0
619.253699750,1
619.255264250,0
619.255850250,1
619.256338750,0
619.256925000,1
619.257413750,0
619.257999750,1
619.259564000,0
619.260149750,1
619.261714000,0
619.262299750,1
619.262788750,0
619.263324750,1
619.263864000,0
619.264448500,1
619.264938500,0
619.265474500,1
619.266013500,0
619.266549250,1
619.268163500,0
619.268699000,1
619.270313500,0
619.270849000,1
619.271388250,0
619.271923750,1
619.272463500,0
619.272999000,1
619.274613750,0
619.275149000,1
619.276763250,0
619.277298500,1
619.282505750,0
619.286895250,1
619.291289000,0
619.291820750,1
619.293438500,0
619.293970000,1
619.294513250,0
619.295044500,1
619.296663500,0
619.297194250,1
619.298813500,0
619.299319000,1
619.299888500,0
619.300393500,1
619.300963250,0
619.301468000,1
619.303113000,0
619.303595500,1
619.304188250,0
619.304670250,1
619.305263000,0
619.305745250,1
619.307413250,0
619.307895250,1
619.308488250,0
619.308970500,1
619.309562750,0
619.310045250,1
619.311713250,0
619.312194750,1
619.313862500,0
619.314344750,1
619.314937500,0
619.315419500,1
619.317087250,0
619.317569500,1
619.319237250,0
619.319719000,1
619.320311750,0
619.320794250,1
619.322462000,0
619.322944250,1
619.324611250,0
619.325094000,1
619.326760750,0
619.327244000,1
619.328910500,0
619.329394000,1
619.331060000,0
619.331543750,1
619.333209750,0
619.333694000,1
619.334284500,0
619.334769000,1
619.336434000,0
619.336918500,1
619.337508750,0
619.337993250,1
619.338583500,0
619.339068250,1
619.339658000,0
619.340143000,1
619.340733000,0
619.341240750,1
619.341807750,0
619.342316000,1
619.342882500,0
619.343391000,1
619.345032750,0
619.345540750,1
619.347182750,0
619.347691000,1
619.348257250,0
619.348765750,1
619.349332000,0
619.349841000,1
619.351482250,0
619.351990750,1
619.353632000,0
619.354140500,1
619.354706750,0
619.355215500,1
619.355781500,0
619.356290500,1
619.356856750,0
619.357365500,1
619.357931500,0
619.358440750,1
619.360081750,0
619.360590500,1
619.362231250,0
619.362740500,1
619.363306500,0
619.363815500,1
619.364381500,0
619.364890500,1
619.366531500,0
619.367040000,1
619.368681750,0
619.369190000,1
619.374423750,0
619.378788750,1
619.383208500,0
619.383714750,1
619.385357750,0
619.385864250,1
619.387508000,0
619.388014500,1
619.388583000,0
619.389089250,1
619.390733000,0
619.391239250,1
619.391807750,0
619.392314250,1
619.393958000,0
619.394464500,1
619.395033000,0
619.395539500,1
619.397183000,0
619.397689000,1
619.398257500,0
619.398764000,1
619.400407750,0
619.400914000,1
619.402557500,0
619.403063750,1
619.403632500,0
619.404138750,1
619.404707500,0
619.405214000,1
619.406857750,0
619.407364000,1
619.409007500,0
619.409513750,1
619.410082250,0
619.410588750,1
619.411157250,0
619.411663750,1
619.412232500,0
619.412738500,1
619.413307250,0
619.413813500,1
619.414382000,0
619.414888500,1
619.415457250,0
619.415963250,1
619.416532000,0
619.417038500,1
619.417607250,0
619.418113500,1
619.418682250,0
619.419188500,1
619.419757250,0
619.420263500,1
619.420832000,0
619.421338250,1
619.421907000,0
619.422413250,1
619.422982000,0
619.423488500,1
619.424057250,0
619.424563000,1
619.425132000,0
619.425638000,1
619.426207000,0
619.426713000,1
619.428357250,0
619.428862750,1
619.429432000,0
619.429938000,1
619.430507250,0
619.431013250,1
619.431582000,0
619.432088250,1
619.432656750,0
619.433162750,1
619.433731500,0
619.434237750,1
619.434806750,0
619.435312750,1
619.435881750,0
619.436387750,1
619.436956250,0
619.437462750,1
619.438031500,0
619.438537750,1
619.439106250,0
619.439612500,1
619.441256750,0
619.441762750,1
619.443406750,0
619.443912750,1
619.445556750,0
619.446062500,1
619.447706500,0
619.448212500,1
619.448781000,0
619.449287500,1
619.449856250,0
619.450362250,1
664.515197250,0
664.519584500,1
664.523977000,0
664.524509750,1
664.526127500,0
664.526660000,1
664.527200750,0
664.527734750,1
664.529376500,0
664.529884750,1
664.531500500,0
664.532034500,1
664.532576250,0
664.533109500,1
664.533652000,0
664.534184500,1
664.535802000,0
664.536334500,1
664.536878750,0
664.537409250,1
664.537953000,0
664.538484250,1
664.540103750,0
664.540634250,1
664.541177000,0
664.541709250,1
664.542251500,0
664.542784250,1
664.544426000,0
664.544934250,1
664.546550000,0
664.547084000,1
664.547627750,0
664.548158750,1
664.549774500,0
664.550309000,1
664.551926000,0
664.552458750,1
664.553001500,0
664.553533500,1
664.555151000,0
664.555683500,1
664.557301500,0
664.557833250,1
664.559475250,0
664.559983500,1
664.561601250,0
664.562133500,1
664.563750250,0
664.564283500,1
664.565900250,0
664.566433250,1
664.566999250,0
664.567508000,1
664.569124750,0
664.569658000,1
664.570200000,0
664.570732750,1
664.571274500,0
664.571835250,1
664.572350250,0
664.572910250,1
664.573424500,0
664.574039000,1
664.574499750,0
664.575114000,1
664.575575000,0
664.576188750,1
664.576650750,0
664.577263500,1
664.578800750,0
664.579413000,1
664.579874500,0
664.580488000,1
664.580949750,0
664.581562500,1
664.583100000,0
664.583712500,1
664.585249750,0
664.585862250,1
664.586324750,0
664.586937250,1
664.587399250,0
664.588012250,1
664.589549500,0
664.590161500,1
664.590623750,0
664.591236250,1
664.592774750,0
664.593386000,1
664.594924500,0
664.595485250,1
664.595998750,0
664.596560250,1
664.597074250,0
664.597635250,1
664.599224500,0
664.599785250,1
664.601374250,0
664.601935000,1
664.607116500,0
664.611504250,1
664.615899000,0
664.616429500,1
664.618049250,0
664.618555500,1
664.619124750,0
664.619630000,1
664.621274250,0
664.621780000,1
664.623447250,0
664.623930000,1
664.624499750,0
664.625005000,1
664.625576500,0
664.626103250,1
664.627746500,0
664.628253750,1
664.628821500,0
664.629328750,1
664.629896000,0
664.630430500,1
664.632045750,0
664.632580500,1
664.633120750,0
664.633655500,1
664.634195500,0
664.634730500,1
664.636345500,0
664.636880250,1
664.638495250,0
664.639029750,1
664.639570000,0
664.640104750,1
664.641719750,0
664.642254250,1
664.643869500,0
664.644404000,1
664.644944250,0
664.645479000,1
664.647094500,0
664.647628500,1
664.649244250,0
664.649778250,1
664.651393750,0
664.651928000,1
664.653543750,0
664.654077750,1
664.655693500,0
664.656227250,1
664.657843500,0
664.658377250,1
664.658918500,0
664.659452000,1
664.661068500,0
664.661601250,1
664.662143000,0
664.662676000,1
664.663218000,0
664.663750750,1
664.664293250,0
664.664825500,1
664.665367750,0
664.665875000,1
664.666443000,0
664.666974000,1
664.667517750,0
664.668024500,1
664.668593000,0
664.669099250,1
664.670743000,0
664.671249250,1
664.671818000,0
664.672324000,1
664.672893000,0
664.673399250,1
664.675043000,0
664.675548750,1
664.677193000,0
664.677698500,1
664.678267750,0
664.678773750,1
664.679342750,0
664.679848500,1
664.681492750,0
664.681998500,1
664.682567500,0
664.683073250,1
664.684717750,0
664.685223250,1
664.686867500,0
664.687373000,1
664.687942500,0
664.688448250,1
664.689017250,0
664.689523000,1
664.691167500,0
