channel,start_time,packet_len,packet_content,start_byte,valid_start
slave,18.927534,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 56 BC D6 32 98 00 00 00 00 00 00 00 41,0xAA,True
bidirectionalExtensionBoard,19.09848425,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 51 3D 00 05,0xAA,True
master,19.2077225,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,19.2278745,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
bidirectionalExtensionBoard,19.2964815,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 86 66 7F 7F 00 00 80 00 00 60 3C 0A 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 14 00 EF,0x55,True
master,19.50786375,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
bidirectionalExtensionBoard,19.548154,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 12 47 9D 00 0F,0xAA,True
bidirectionalExtensionBoard,19.74647425,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 86 66 7F 7F 00 00 80 00 00 60 3C 0A 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 14 00 EF,0x55,True
master,19.80773425,15,AA C0 0A 00 00 00 00 00 00 00 00 00 00 3F F7,0xAA,True
master,20.1078235,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
master,20.4078605,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,20.42784125,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
bidirectionalExtensionBoard,20.60732475,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8D E6 4C 00 70,0xAA,True
master,20.70782475,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,20.7279395,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 56 BC D6 32 98 00 00 00 00 00 00 00 41,0xAA,True
bidirectionalExtensionBoard,20.8044155,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 96 00 00 00 00 80 80 80 80 00 00 62 00 EF,0x55,True
master,21.0080495,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,21.02810375,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
master,21.308243,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
master,21.608207,15,AA C0 0B 00 00 00 00 00 00 00 00 00 00 3F F6,0xAA,True
bidirectionalExtensionBoard,21.7064545,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 12 EF 5A 00 67,0xAA,True
bidirectionalExtensionBoard,21.9045235,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 41 38 36 00 04 E4 03 4C 78 39 3D 37 00 00 00 00 00 00 00 00 00 3E 00 EF,0x55,True
master,21.9083485,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
master,22.20829175,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,22.228419,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
